,0,1
0,1.0733804043510622,1.2810934956472027
1,1.1697343277540895,1.3141849059315465
2,1.254724511506034,1.3424890569267165
3,1.3307508215434332,1.3668933915269315
4,1.399524984561547,1.388106830926257
0,1.050642452956612,1.274227748927856
1,1.1472514747224425,1.307352348192618
2,1.2324666711771783,1.3356848867936666
3,1.308694261936063,1.3601136976847439
4,1.3776505055147754,1.3813484130713656
0,1.050642452956612,1.274227748927856
1,1.1472514747224425,1.307352348192618
2,1.2324666711771783,1.3356848867936666
3,1.308694261936063,1.3601136976847439
4,1.3776505055147754,1.3813484130713656
0,1.0000160195804386,1.2476126021801908
1,1.0836152476990768,1.2790067358817423
2,1.1573549928841755,1.305859151448681
3,1.2233174426875963,1.3290117743424545
4,1.2829877367426805,1.3491371648002697
0,1.0129484963164372,1.25308663737959
1,1.0981486337242277,1.2846978156994435
2,1.1733004809789658,1.3117358765319154
3,1.2405260991273823,1.3350485660243228
4,1.3013390679438133,1.3553130941863862
0,1.0129484963164372,1.25308663737959
1,1.0981486337242277,1.2846978156994435
2,1.1733004809789658,1.3117358765319154
3,1.2405260991273823,1.3350485660243228
4,1.3013390679438133,1.3553130941863862
0,1.035428992704791,1.2612325670100795
1,1.1218665240041805,1.2930107281423953
2,1.1981098300237127,1.3201916147624935
3,1.2663117913070903,1.3436274511499047
4,1.3280079699214502,1.363999024606879
0,1.0260493438951401,1.25725504320305
1,1.1112561070600364,1.2888671174604789
2,1.1864137986467334,1.3159059446172685
3,1.2536446447282343,1.3392192948479211
4,1.314462342785398,1.359484397355934
0,1.0260493438951401,1.25725504320305
1,1.1112561070600364,1.2888671174604789
2,1.1864137986467334,1.3159059446172685
3,1.2536446447282343,1.3392192948479211
4,1.314462342785398,1.359484397355934
0,1.080361639007432,1.2743577528706793
1,1.1658890006559435,1.3060131553263299
2,1.2413294801465544,1.3330890424891537
3,1.3088132886280492,1.3564343465059383
4,1.369859819010839,1.3767272248052929
0,1.058417025455669,1.2662967940669017
1,1.1423531333955605,1.2977366945124509
2,1.2163900276421553,1.3246282558523117
3,1.2826182863387836,1.34781463091695
4,1.3425290337861755,1.3679693604099397
0,1.0559907683256422,1.2667089933975562
1,1.1413072137123819,1.298335896102187
2,1.2165616518752387,1.3253874065083464
3,1.2838790407181442,1.3487116924586924
4,1.34477502622577,1.368986300828299
0,1.0559907683256422,1.2667089933975562
1,1.1413072137123819,1.298335896102187
2,1.2165616518752387,1.3253874065083464
3,1.2838790407181442,1.3487116924586924
4,1.34477502622577,1.368986300828299
0,1.0559907683256422,1.2667089933975562
1,1.1413072137123819,1.298335896102187
2,1.2165616518752387,1.3253874065083464
3,1.2838790407181442,1.3487116924586924
4,1.34477502622577,1.368986300828299
0,1.0587784352707084,1.2658996842141093
1,1.142113429281718,1.2972578854803363
2,1.215620103465993,1.32407956687589
3,1.2813740641547051,1.3472056902289329
4,1.3408557568643416,1.367308045991863
0,1.0622604756698077,1.2655571041917846
1,1.1439349739918665,1.296688798262049
2,1.2159769871769939,1.3233167407440622
3,1.280420763956163,1.3462758190134374
4,1.3387172511529413,1.3662329710321397
0,1.0724734933566968,1.2668743734469246
1,1.1520531658848763,1.2977185978336878
2,1.2222474117673126,1.3241006582194579
3,1.2850383043705709,1.3468477326400006
4,1.3418395759543824,1.3666206005602706
0,1.070944443058492,1.2652953936197915
1,1.1492419191550238,1.2959627267776332
2,1.218305187631631,1.322193486387459
3,1.2800843864709153,1.344810106629671
4,1.335970469723033,1.3644695774075177
0,1.070944443058492,1.2652953936197915
1,1.1492419191550238,1.2959627267776332
2,1.218305187631631,1.322193486387459
3,1.2800843864709153,1.344810106629671
4,1.335970469723033,1.3644695774075177
0,1.070944443058492,1.2652953936197915
1,1.1492419191550238,1.2959627267776332
2,1.218305187631631,1.322193486387459
3,1.2800843864709153,1.344810106629671
4,1.335970469723033,1.3644695774075177
0,1.084453480382286,1.2690266821888354
1,1.1623421623659536,1.2996374694885842
2,1.2310448488803325,1.325819863601386
3,1.2925014961631422,1.3483947822651732
4,1.3480957960403228,1.3680180039945924
0,1.0706211766829397,1.2644170328503215
1,1.1480250927196918,1.294960672652711
2,1.2163001853650313,1.3210856333443362
3,1.2773743368980663,1.3436110319067125
4,1.3326226272814834,1.3631912083457132
0,1.0682419628701514,1.2640176574763795
1,1.1460174283122695,1.2946127715725364
2,1.2146202507595696,1.3207817598885705
3,1.2759875665903202,1.3433451198396458
4,1.3315010563394867,1.3629582941715157
0,1.0594158580062898,1.2605137384550054
1,1.1362663250216376,1.290980594081566
2,1.204053241032698,1.3170398787899669
3,1.2646907036857673,1.3395086503696054
4,1.3195439609259978,1.3590396038698804
0,1.0932206262746327,1.2744996738323986
1,1.1743683796992699,1.3055592630932922
2,1.2459457709568085,1.3321255320052043
3,1.3099739292591415,1.35503143424252
4,1.367894443810855,1.37494236305735
0,1.09201227030936,1.2734825832298988
1,1.1724046737890048,1.3044385637051152
2,1.2433157991763577,1.3309162126794352
3,1.3067479623486893,1.3537457052548034
4,1.3641293337247236,1.3735902150600683
0,1.092398435411284,1.2733248756536866
1,1.1724758202662922,1.3042375728727151
2,1.2431090795341602,1.3306782002813726
3,1.306292682992696,1.353475772214571
4,1.3634492047572218,1.373292535038844
0,1.092398435411284,1.2733248756536866
1,1.1724758202662922,1.3042375728727151
2,1.2431090795341602,1.3306782002813726
3,1.306292682992696,1.353475772214571
4,1.3634492047572218,1.373292535038844
0,1.092398435411284,1.2733248756536866
1,1.1724758202662922,1.3042375728727151
2,1.2431090795341602,1.3306782002813726
3,1.306292682992696,1.353475772214571
4,1.3634492047572218,1.373292535038844
0,1.0913987621458772,1.2731106616685541
1,1.1715749132117756,1.3040369339014488
2,1.2422952904517572,1.3304891724574985
3,1.305556823591879,1.3532967557252922
4,1.3627838413284272,1.3731222208904907
0,1.0913987621458772,1.2731106616685541
1,1.1715749132117756,1.3040369339014488
2,1.2422952904517572,1.3304891724574985
3,1.305556823591879,1.3532967557252922
4,1.3627838413284272,1.3731222208904907
0,1.0729646337879877,1.2676595352634128
1,1.1532794070122954,1.2986048534130987
2,1.2241220576615908,1.3250733825563454
3,1.2874929680934828,1.347895011853672
4,1.3448189296258166,1.3677326865136668
0,1.0861351706595377,1.266902068571168
1,1.1610434093965607,1.2970984310574853
